Method,Sharpe,t_stat,p_val,CI_lo,CI_hi,Alpha_ann,Alpha_t,Alpha_p,Beta_mkt,Beta_smb,Beta_hml
DHRP,0.1076,5.1034,0.0,-0.4551,0.6729,-0.0502,-0.8561,0.392,0.7976,0.0475,0.1595
EW,0.1178,5.5825,0.0,-0.3861,0.6633,-0.0485,-0.8103,0.4178,0.8081,0.0532,0.1737
HRP,0.0569,2.7029,0.0069,-0.493,0.7139,-0.0582,-1.0095,0.3128,0.7697,0.0313,0.1308
MINVAR,-0.0257,-1.2227,0.2214,-0.637,0.564,-0.071,-1.2518,0.2107,0.7126,-0.0122,0.0704
MV,-0.0955,-4.5309,0.0,-0.7018,0.4944,-0.0991,-1.3615,0.1733,0.8144,0.0502,0.1389
